"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2023,"Chelsea","Premier League","Edouard Mendy","SEN","GK","30",1992,10,9,855,9.5,14,1.47,39,25,64.1,3,2,4,1,11.1,0,0,0,0,NA,"https://fbref.com/en/players/33887998/Edouard-Mendy"
2023,"Clermont Foot","Ligue 1","Mory Diaw","SEN","GK","29",1993,37,37,3330,37,47,1.27,161,110,75.8,17,8,12,10,27,12,8,4,0,33.3,"https://fbref.com/en/players/f41a69e6/Mory-Diaw"
2023,"Clermont Foot","Ligue 1","Ouparine Djoco","SEN","GK","24",1998,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/62124972/Ouparine-Djoco"
2023,"Cremonese","Serie A","Marco Carnesecchi","ITA","GK","22",2000,27,27,2430,27,47,1.74,153,107,70.6,4,9,14,4,14.8,2,2,0,0,0,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
2023,"Cremonese","Serie A","Ionuț Radu","ROU","GK","25",1997,9,9,810,9,19,2.11,64,45,75,0,3,6,1,11.1,3,3,0,0,0,"https://fbref.com/en/players/67f649be/Ionut-Radu"
2023,"Cremonese","Serie A","Mouhamadou Sarr","SEN","GK","25",1997,2,2,180,2,3,1.5,8,5,62.5,1,0,1,1,50,0,0,0,0,NA,"https://fbref.com/en/players/b959a0d1/Mouhamadou-Sarr"
2023,"Crystal Palace","Premier League","Vicente Guaita","ESP","GK","35",1987,27,27,2430,27,34,1.26,116,84,72.4,7,9,11,6,22.2,2,2,0,0,0,"https://fbref.com/en/players/ab13a5aa/Vicente-Guaita"
2023,"Crystal Palace","Premier League","Sam Johnstone","ENG","GK","29",1993,9,9,810,9,10,1.11,34,25,76.5,4,3,2,3,33.3,2,2,0,0,0,"https://fbref.com/en/players/9e5708be/Sam-Johnstone"
2023,"Crystal Palace","Premier League","Joseph Whitworth","ENG","GK","18",2004,2,2,180,2,5,2.5,10,5,50,0,0,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/3f847d95/Joseph-Whitworth"
2023,"Cádiz","La Liga","David Gil","ESP","GK","28",1994,4,4,360,4,5,1.25,23,18,82.6,1,1,2,1,25,1,1,0,0,0,"https://fbref.com/en/players/fea23125/David-Gil"
2023,"Cádiz","La Liga","Jeremías Ledesma","ARG","GK","29",1993,34,34,3060,34,48,1.41,179,130,77.7,9,11,14,12,35.3,9,8,1,0,11.1,"https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma"
2023,"Dortmund","Bundesliga","Gregor Kobel","SUI","GK","24",1997,27,27,2430,27,32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,0,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
2023,"Dortmund","Bundesliga","Alexander Meyer","GER","GK","31",1991,7,7,630,7,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,NA,"https://fbref.com/en/players/b56dd813/Alexander-Meyer"
2023,"Eint Frankfurt","Bundesliga","Diant Ramaj","GER","GK","20",2001,1,1,90,1,1,1,5,4,80,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/b90c4a43/Diant-Ramaj"
2023,"Eint Frankfurt","Bundesliga","Kevin Trapp","GER","GK","32",1990,33,33,2970,33,51,1.55,130,80,62.3,13,10,10,6,18.2,2,2,0,0,0,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp"
2023,"Elche","La Liga","Édgar Badía","ESP","GK","30",1992,36,36,3240,36,63,1.75,200,136,72,5,10,21,4,11.1,10,7,3,0,30,"https://fbref.com/en/players/e4346678/Edgar-Badia"
2023,"Elche","La Liga","Axel Werner","ARG","GK","26",1996,2,2,180,2,4,2,8,4,50,0,0,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c0b1a6da/Axel-Werner"
2023,"Empoli","Serie A","Samuele Perisan","ITA","GK","24",1997,7,7,630,7,9,1.29,24,15,62.5,1,1,5,2,28.6,0,0,0,0,NA,"https://fbref.com/en/players/00a17eba/Samuele-Perisan"
2023,"Empoli","Serie A","Samir Ujkani","KVX","GK","34",1988,1,0,7,0.1,1,12.86,1,0,0,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/96640846/Samir-Ujkani"
2023,"Empoli","Serie A","Guglielmo Vicario","ITA","GK","25",1996,31,31,2783,30.9,39,1.26,134,95,73.9,9,12,10,7,22.6,6,4,1,1,20,"https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario"
2023,"Espanyol","La Liga","Álvaro Fernández","ESP","GK","24",1998,11,11,990,11,18,1.64,50,33,64,3,4,4,2,18.2,0,0,0,0,NA,"https://fbref.com/en/players/f127d782/Alvaro-Fernandez"
2023,"Espanyol","La Liga","Joan García","ESP","GK","21",2001,1,1,90,1,3,3,4,1,50,0,1,0,0,0,1,1,0,0,0,"https://fbref.com/en/players/87b498b0/Joan-Garcia"
2023,"Espanyol","La Liga","Benjamin Lecomte","FRA","GK","31",1991,10,10,899,10,14,1.4,40,27,65,1,5,4,1,10,0,0,0,0,NA,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte"
2023,"Espanyol","La Liga","Fernando Pacheco","ESP","GK","30",1992,16,16,1440,16,33,2.06,88,54,67,4,3,9,3,18.8,5,4,1,0,20,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
2023,"Everton","Premier League","Asmir Begović","BIH","GK","35",1987,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/7b4de647/Asmir-Begovic"
2023,"Everton","Premier League","Jordan Pickford","ENG","GK","28",1994,37,37,3330,37,57,1.54,181,123,71.3,7,12,18,8,21.6,6,5,1,0,16.7,"https://fbref.com/en/players/4806ec67/Jordan-Pickford"
2023,"Fiorentina","Serie A","Michele Cerofolini","ITA","GK","23",1999,5,5,450,5,3,0.6,11,8,81.8,4,1,0,2,40,1,1,0,0,0,"https://fbref.com/en/players/efdeaff3/Michele-Cerofolini"
2023,"Fiorentina","Serie A","Pierluigi Gollini","ITA","GK","27",1995,3,3,270,3,2,0.67,8,6,75,1,2,0,2,66.7,0,0,0,0,NA,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
2023,"Fiorentina","Serie A","Salvatore Sirigu","ITA","GK","35",1987,1,1,90,1,0,0,5,5,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu"
2023,"Fiorentina","Serie A","Pietro Terracciano","ITA","GK","32",1990,29,29,2610,29,38,1.31,96,59,66.7,9,8,12,5,17.2,7,6,1,0,14.3,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano"
