"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2023,"Almería","La Liga","Umar Sadiq","NGA","FW","25",1997,2.7,2,7,3,42.9,2.62,1.13,0.29,0.67,14.5,0,0,0,1.5,1.5,0.21,0.5,0.5,"https://fbref.com/en/players/686cbe7d/Umar-Sadiq"
2023,"Almería","La Liga","Dyego Sousa","POR","FW","32",1989,5.9,0,13,4,30.8,2.22,0.68,0,0,14.2,0,0,0,1.2,1.2,0.09,-1.2,-1.2,"https://fbref.com/en/players/e4738e91/Dyego-Sousa"
2023,"Angers","Ligue 1","Himad Abdelli","ALG","MF,FW","22",1999,23.7,2,24,7,29.2,1.01,0.29,0.08,0.29,22.4,2,0,0,1.4,1.4,0.06,0.6,0.6,"https://fbref.com/en/players/7978cbf0/Himad-Abdelli"
2023,"Angers","Ligue 1","Ibrahim Amadou","FRA","DF,MF","29",1993,4.7,0,2,0,0,0.42,0,0,NA,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,"https://fbref.com/en/players/9260926b/Ibrahim-Amadou"
2023,"Angers","Ligue 1","Abdoulaye Bamba","CIV","DF","32",1990,15.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba"
2023,"Angers","Ligue 1","Nabil Bentaleb","ALG","MF","27",1994,27.7,4,39,13,33.3,1.41,0.47,0.05,0.15,27.5,8,2,2,3.2,1.6,0.04,0.8,0.4,"https://fbref.com/en/players/3189f61a/Nabil-Bentaleb"
2023,"Angers","Ligue 1","Paul Bernardoni","FRA","GK","25",1997,27,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni"
2023,"Angers","Ligue 1","Miha Blažič","SVN","DF","29",1993,22,2,8,4,50,0.36,0.18,0.25,0.5,10,1,0,0,1.6,1.6,0.2,0.4,0.4,"https://fbref.com/en/players/3cdfc63e/Miha-Blazic"
2023,"Angers","Ligue 1","Antonin Bobichon","FRA","MF","26",1995,0.2,0,1,1,100,5,5,0,0,31.2,1,0,0,0.1,0.1,0.06,-0.1,-0.1,"https://fbref.com/en/players/7d937aa1/Antonin-Bobichon"
2023,"Angers","Ligue 1","Sofiane Boufal","MAR","FW,MF","28",1993,9.3,4,21,9,42.9,2.27,0.97,0.1,0.22,20.8,4,2,2,3.6,2.1,0.1,0.4,-0.1,"https://fbref.com/en/players/b0c71810/Sofiane-Boufal"
