URL,GA,SOTA,SAVES,W,D,L,CS,PKATT_PENALTY,PKA_PENALTY,PKSV_PENALTY,PKM_PENALTY
https://fbref.com/en/players/8a6ab963/Andrey-Lunyov,2.0,4.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/8cabdc1e/Andrea-Consigli,55.0,117.0,64.0,12,8.0,15.0,9.0,3.0,3.0,0.0,0.0
https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,47.0,153.0,107.0,4,9.0,14.0,4.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/8f62b6ee/Hugo-Lloris,39.0,117.0,79.0,13,3.0,9.0,7.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/8f8c6934/David-Soria,45.0,166.0,119.0,10,12.0,16.0,13.0,8.0,4.0,4.0,0.0
https://fbref.com/en/players/8fae77ea/Jordi-Masip,42.0,145.0,101.0,9,5.0,14.0,8.0,9.0,5.0,3.0,1.0
https://fbref.com/en/players/903b6e8b/Jose-Sa,55.0,161.0,105.0,11,7.0,18.0,11.0,4.0,2.0,2.0,0.0
https://fbref.com/en/players/924ff27e/Leonardo-Roman,0.0,4.0,4.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/9328b835/Lukasz-Fabianski,48.0,154.0,106.0,11,6.0,19.0,8.0,4.0,2.0,1.0,1.0
https://fbref.com/en/players/9413b19f/Alex-Meret,24.0,91.0,66.0,26,5.0,3.0,16.0,2.0,1.0,1.0,0.0
https://fbref.com/en/players/96640846/Samir-Ujkani,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/967f34d3/Ruben-Blanco,6.0,19.0,15.0,1,3.0,2.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/96fcd380/Alexandre-Letellier,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/97852360/Fernando-Pacheco,35.0,93.0,57.0,4,3.0,10.0,3.0,5.0,4.0,1.0,0.0
https://fbref.com/en/players/98ea5115/David-Raya,46.0,197.0,154.0,15,14.0,9.0,12.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/9b688ae1/Michael-Zetterer,3.0,14.0,11.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/9d420dad/Yahia-Fofana,19.0,54.0,35.0,3,1.0,7.0,1.0,2.0,1.0,1.0,0.0
https://fbref.com/en/players/9e17ccff/Dogan-Alemdar,8.0,16.0,7.0,2,0.0,2.0,1.0,2.0,1.0,1.0,0.0
https://fbref.com/en/players/9e5708be/Sam-Johnstone,10.0,34.0,25.0,4,3.0,2.0,3.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo,21.0,51.0,30.0,2,2.0,6.0,1.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,46.0,156.0,112.0,8,12.0,18.0,6.0,6.0,5.0,1.0,0.0
https://fbref.com/en/players/9f941969/Manuel-Riemann,72.0,200.0,128.0,10,5.0,19.0,5.0,14.0,8.0,3.0,3.0
https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,41.0,136.0,95.0,14,11.0,13.0,11.0,6.0,5.0,0.0,1.0
https://fbref.com/en/players/a01c3d54/Aitor-Fernandez,19.0,77.0,59.0,10,5.0,6.0,8.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/a111cf41/Juan-Musso,27.0,89.0,64.0,13,4.0,7.0,7.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/a2565f79/Vincenzo-Fiorillo,2.0,4.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,6.0,19.0,13.0,1,3.0,3.0,2.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/a4995f48/Sergio-Herrera,23.0,71.0,48.0,5,3.0,9.0,3.0,4.0,1.0,1.0,2.0
https://fbref.com/en/players/a70b8345/Frederik-Ronnow,27.0,119.0,92.0,16,7.0,6.0,11.0,5.0,5.0,0.0,0.0
https://fbref.com/en/players/a92ab7be/Mark-Flekken,44.0,150.0,106.0,17,8.0,9.0,13.0,6.0,5.0,0.0,1.0
https://fbref.com/en/players/a9dc785c/Neto,39.0,138.0,100.0,9,6.0,12.0,6.0,5.0,4.0,0.0,1.0
https://fbref.com/en/players/ab13a5aa/Vicente-Guaita,34.0,116.0,84.0,7,9.0,11.0,6.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,49.0,161.0,113.0,13,12.0,12.0,7.0,9.0,7.0,2.0,0.0
https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic,13.0,55.0,43.0,6,4.0,3.0,5.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/ac4003af/Marco-Sportiello,21.0,64.0,43.0,6,3.0,5.0,2.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/ad3389d5/Lukas-Hradecky,47.0,142.0,97.0,14,8.0,11.0,9.0,7.0,7.0,0.0,0.0
https://fbref.com/en/players/af104654/Oliver-Christensen,68.0,163.0,94.0,6,8.0,19.0,3.0,6.0,5.0,1.0,0.0
https://fbref.com/en/players/afb0c500/Alexander-Nubel,58.0,195.0,140.0,19,8.0,11.0,9.0,5.0,5.0,0.0,0.0
https://fbref.com/en/players/b056e3da/Ciprian-Tatarusanu,22.0,61.0,40.0,9,3.0,4.0,4.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/b3d76d84/Lucas-Chevalier,31.0,105.0,76.0,16,9.0,7.0,10.0,3.0,2.0,1.0,0.0
https://fbref.com/en/players/b56dd813/Alexander-Meyer,12.0,32.0,20.0,3,2.0,2.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/b90c4a43/Diant-Ramaj,1.0,5.0,4.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/b959a0d1/Mouhamadou-Sarr,3.0,8.0,5.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/b9e11c1d/Simone-Perilli,0.0,4.0,4.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi,10.0,26.0,17.0,2,2.0,2.0,2.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/bcf5058a/Mile-Svilar,3.0,10.0,7.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/bdedffac/Orjan-Nyland,2.0,5.0,4.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/be6faae0/Alvaro-Aceves,0.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/c0b1a6da/Axel-Werner,4.0,8.0,4.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/c1242d4e/Stefan-Ortega,1.0,15.0,14.0,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0
