URL,SCA_SCA,GCA_GCA
https://fbref.com/en/players/1a248246/Youcef-Belaili,62.0,12.0
https://fbref.com/en/players/1a2935f6/Dejan-Lovren,10.0,0.0
https://fbref.com/en/players/1a4b9094/Bouna-Sarr,0.0,0.0
https://fbref.com/en/players/1a4ef233/Daniel-Amartey,15.0,1.0
https://fbref.com/en/players/1a5d7cb9/Jean-Manuel-Mbom,0.0,0.0
https://fbref.com/en/players/1a6b7ea4/Pablo-Rosario,42.0,2.0
https://fbref.com/en/players/1a85bcdb/Mohamed-Youssouf,32.0,0.0
https://fbref.com/en/players/1ac232b8/Simone-Bastoni,30.0,3.0
https://fbref.com/en/players/1ae836b1/Elvis-Rexhbecaj,39.0,0.0
https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga,10.0,0.0
https://fbref.com/en/players/1b5b32d2/Jordan-Dongmo,0.0,0.0
https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini,0.0,0.0
https://fbref.com/en/players/1b804500/Connor-Ronan,1.0,0.0
https://fbref.com/en/players/1b84dbe1/Lucas-Digne,29.0,0.0
https://fbref.com/en/players/1b9c7401/Giacomo-Quagliata,28.0,2.0
https://fbref.com/en/players/1bacc518/Frenkie-de-Jong,110.0,11.0
https://fbref.com/en/players/1bd5bdc4/Alan-Do-Marcolino,0.0,0.0
https://fbref.com/en/players/1bda5842/Portu,53.0,3.0
https://fbref.com/en/players/1bf33a9a/Christian-Pulisic,24.0,3.0
https://fbref.com/en/players/1bfb6fef/Bafode-Diakite,36.0,0.0
https://fbref.com/en/players/1bfe5ac9/Przemyslaw-Wisniewski,6.0,1.0
https://fbref.com/en/players/1c2c55fc/Gonzalo-Verdu,3.0,0.0
https://fbref.com/en/players/1c7012b8/Declan-Rice,100.0,6.0
https://fbref.com/en/players/1c86aa16/Marcel-Wenig,0.0,0.0
https://fbref.com/en/players/1cadaf34/Roberto-Piccoli,10.0,1.0
https://fbref.com/en/players/1cb49278/Andreas-Christensen,15.0,2.0
https://fbref.com/en/players/1cbe4984/Paulo-Otavio,39.0,7.0
https://fbref.com/en/players/1d1691ad/Alvaro-Odriozola,3.0,0.0
https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda,5.0,2.0
https://fbref.com/en/players/1d383c10/Marvin-Senaya,1.0,0.0
https://fbref.com/en/players/1d4e63b6/Pablo-Rodriguez,0.0,0.0
https://fbref.com/en/players/1d5c96f8/Mikkel-Desler,49.0,5.0
https://fbref.com/en/players/1d5cab82/Enock-Mwepu,7.0,2.0
https://fbref.com/en/players/1d8e9add/Kevin-Vogt,16.0,1.0
https://fbref.com/en/players/1daec722/Marc-Cucurella,27.0,3.0
https://fbref.com/en/players/1ddbc7ca/Melvin-Bard,30.0,0.0
https://fbref.com/en/players/1df0c0b9/Robert-Gumny,31.0,3.0
https://fbref.com/en/players/1df4a109/Chimuanya-Ugochukwu,13.0,2.0
https://fbref.com/en/players/1e274a0a/Sven-Michel,13.0,2.0
https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann,4.0,0.0
https://fbref.com/en/players/1e465e70/Sergio-Arribas,3.0,0.0
https://fbref.com/en/players/1e52971c/Johann-Lepenant,35.0,4.0
https://fbref.com/en/players/1e7aea56/Benjamin-Leroy,5.0,0.0
https://fbref.com/en/players/1e93fc5d/Mohamed-Achi,1.0,0.0
https://fbref.com/en/players/1e9aa637/Giorgio-Scalvini,33.0,5.0
https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa,5.0,2.0
https://fbref.com/en/players/1ec7e1c5/Damien-Da-Silva,1.0,0.0
https://fbref.com/en/players/1ecb65be/Theo-Walcott,28.0,2.0
https://fbref.com/en/players/1f079188/Ruben-Pena,21.0,3.0
https://fbref.com/en/players/1f2c7b55/Merlin-Rohl,2.0,1.0
https://fbref.com/en/players/1f2d714c/Ajdin-Hrustic,7.0,1.0
https://fbref.com/en/players/1f3afdcb/Odilon-Kossonou,16.0,3.0
https://fbref.com/en/players/1f44ac21/Erling-Haaland,72.0,17.0
https://fbref.com/en/players/1f6298f2/Salim-Ben-Seghir,0.0,0.0
https://fbref.com/en/players/1faa06d5/Nicolo-Cocetta,0.0,0.0
https://fbref.com/en/players/1fb1c435/Rodrigo,45.0,4.0
https://fbref.com/en/players/1fc474ae/Giovanni-Gonzalez,12.0,3.0
https://fbref.com/en/players/1fc4f3d1/Ilia-Gruev,24.0,3.0
https://fbref.com/en/players/1fca9171/Federico-Di-Francesco,49.0,5.0
https://fbref.com/en/players/1fda2b14/Marko-Milovanovic,1.0,0.0
https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga,1.0,0.0
https://fbref.com/en/players/1fffae99/Jens-Stage,31.0,6.0
https://fbref.com/en/players/20030c06/Willi-Orban,24.0,2.0
https://fbref.com/en/players/20094685/Maxime-Lopez,73.0,4.0
https://fbref.com/en/players/200e89e1/Ander-Barrenetxea,28.0,2.0
https://fbref.com/en/players/202b3b68/Jakub-Kaminski,69.0,14.0
https://fbref.com/en/players/204ac005/Samuele-Birindelli,35.0,4.0
https://fbref.com/en/players/204dded0/Hiroki-Ito,49.0,4.0
https://fbref.com/en/players/2054d037/MBaye-Niang,22.0,3.0
https://fbref.com/en/players/20730eae/Rafael-Leao,123.0,18.0
https://fbref.com/en/players/2077ae86/Jonas-Wind,37.0,6.0
https://fbref.com/en/players/20b104bc/Adam-Smith,29.0,2.0
https://fbref.com/en/players/20b3a502/Nicolas-Dominguez,71.0,5.0
https://fbref.com/en/players/20b9f052/Pau-Lopez,6.0,2.0
https://fbref.com/en/players/20e0dd86/Cyrille-Bayala,43.0,2.0
https://fbref.com/en/players/20e73fac/Benjamin-Bourigeaud,166.0,19.0
https://fbref.com/en/players/211589b8/Jon-Karrikaburu,2.0,0.0
https://fbref.com/en/players/21166ff4/Caglar-Soyuncu,2.0,0.0
https://fbref.com/en/players/2146785a/Davide-Calabria,37.0,6.0
https://fbref.com/en/players/21512407/Kieran-Trippier,178.0,10.0
https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,25.0,2.0
https://fbref.com/en/players/217875a4/Sebastian-Walukiewicz,4.0,0.0
https://fbref.com/en/players/217c93a1/Lazar-Samardzic,98.0,10.0
https://fbref.com/en/players/2180c761/El-Chadaille-Bitshiabu,3.0,0.0
https://fbref.com/en/players/21a66f6a/Harry-Kane,131.0,18.0
https://fbref.com/en/players/2200181e/Kaan-Ayhan,5.0,0.0
