URL,MP_PLAYING,STARTS_PLAYING,MIN_PLAYING,GLS,AST,G+A,G_MINUS_PK,PK,PKATT,CRDY,CRDR,PRGC_PROGRESSION,PRGP_PROGRESSION,PRGR_PROGRESSION
https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,27,16,1422,6,6,12,1,5,5,2,0,47.0,75.0,125.0
https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,24,22,1791,1,2,3,1,0,0,2,0,43.0,94.0,96.0
https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,32,27,2397,11,3,14,6,5,5,8,0,96.0,42.0,178.0
https://fbref.com/en/players/0c7a48f8/Piero-Hincapie,30,27,2457,1,1,2,1,0,0,13,3,46.0,83.0,42.0
https://fbref.com/en/players/0c88efca/Eniss-Shabani,1,0,10,0,0,0,0,0,0,1,0,0.0,0.0,0.0
https://fbref.com/en/players/0cadc46d/Vedat-Muriqi,35,34,2937,15,3,18,11,4,5,6,1,28.0,60.0,152.0
https://fbref.com/en/players/0cbc8baa/Jean-Kevin-Duverne,34,27,2515,0,0,0,0,0,0,2,0,80.0,149.0,134.0
https://fbref.com/en/players/0cc5f4a5/Lukas-Nmecha,16,10,899,4,0,4,4,0,0,3,0,15.0,18.0,70.0
https://fbref.com/en/players/0cd31129/Brennan-Johnson,38,33,2934,8,3,11,7,1,3,6,0,88.0,30.0,155.0
https://fbref.com/en/players/0cf778df/Chris-Fuhrich,33,21,1884,5,2,7,4,1,1,2,0,93.0,83.0,142.0
https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,37,36,2771,1,3,4,1,0,0,3,0,37.0,113.0,58.0
https://fbref.com/en/players/0d422df7/Marco-Silvestri,38,38,3420,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/0d55d942/Alexander-Schwolow,23,22,2035,0,0,0,0,0,0,1,0,0.0,0.0,0.0
https://fbref.com/en/players/0d7b6576/Elye-Wahi,33,29,2513,19,5,24,18,1,1,8,1,57.0,25.0,190.0
https://fbref.com/en/players/0d82903c/Alex-Sandro,25,21,1787,0,1,1,0,0,0,5,1,51.0,97.0,25.0
https://fbref.com/en/players/0d8a37c2/Tobias-Sippel,6,5,510,0,0,0,0,0,0,1,0,0.0,0.0,0.0
https://fbref.com/en/players/0d9b2d31/Pedri,26,22,1976,6,1,7,6,0,0,2,0,67.0,184.0,99.0
https://fbref.com/en/players/0da6a13e/Theo-Bongonda,31,24,1938,4,3,7,3,1,1,2,0,74.0,39.0,105.0
https://fbref.com/en/players/0db169ae/Sandro-Tonali,34,30,2713,2,7,9,2,0,0,7,0,61.0,159.0,86.0
https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,18,11,1103,0,0,0,0,0,0,2,0,1.0,35.0,1.0
https://fbref.com/en/players/0def2376/Warren-Bondo,4,0,60,0,0,0,0,0,0,1,0,3.0,5.0,2.0
https://fbref.com/en/players/0e0102eb/Omar-Marmoush,33,15,1476,5,1,6,5,0,0,2,0,36.0,51.0,160.0
https://fbref.com/en/players/0e0d6c53/Duccio-DeglInnocenti,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/0e12089d/Maxime-Dupe,38,38,3420,0,0,0,0,0,0,2,0,0.0,0.0,0.0
https://fbref.com/en/players/0e46fa2f/Matthis-Abline,30,8,913,3,1,4,2,1,2,1,0,18.0,10.0,60.0
https://fbref.com/en/players/0e4fef6e/Lucas-Torro,33,31,2477,1,0,1,1,0,0,10,0,12.0,98.0,17.0
https://fbref.com/en/players/0e5ddc7c/Dani-Gomez,8,0,88,0,0,0,0,0,0,2,0,1.0,4.0,9.0
https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,19,14,1112,10,2,12,10,0,1,0,0,11.0,43.0,77.0
https://fbref.com/en/players/0e7ccfc4/Sebastien-Corchia,22,6,786,0,1,1,0,0,0,3,0,21.0,29.0,65.0
https://fbref.com/en/players/0e8d7b6c/Ayman-Kari,5,0,96,0,0,0,0,0,0,0,0,5.0,7.0,3.0
https://fbref.com/en/players/0ed063d6/Yasser-Larouci,30,21,1797,1,1,2,1,0,0,1,0,72.0,63.0,113.0
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,20,7,788,1,0,1,1,0,0,3,0,18.0,48.0,68.0
https://fbref.com/en/players/0f134faf/Mathias-Jensen,37,37,2803,5,6,11,5,0,0,5,0,21.0,141.0,77.0
https://fbref.com/en/players/0f26ffd7/Copete,28,27,2206,1,0,1,1,0,0,7,1,14.0,58.0,3.0
https://fbref.com/en/players/0f59a7bf/Anton-Stach,30,22,2070,1,4,5,1,0,0,4,0,37.0,106.0,77.0
https://fbref.com/en/players/0f7533cd/Bobby-Reid,36,29,2475,4,1,5,4,0,0,8,0,46.0,63.0,186.0
https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko,26,13,1310,0,2,2,0,0,0,1,0,18.0,67.0,41.0
https://fbref.com/en/players/0f86995c/Hianga-Mananga-Mbock,2,0,15,0,0,0,0,0,0,0,0,2.0,0.0,1.0
https://fbref.com/en/players/0fbecd11/Dominik-Kohr,30,27,2292,3,0,3,3,0,0,11,0,17.0,144.0,39.0
https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,20,5,592,0,0,0,0,0,0,2,0,6.0,29.0,6.0
https://fbref.com/en/players/0fee6bda/Martin-Erlic,28,26,2330,0,0,0,0,0,0,2,0,7.0,65.0,1.0
https://fbref.com/en/players/0ff630d0/Akim-Zedadka,28,23,1953,1,0,1,1,0,0,6,0,31.0,66.0,89.0
https://fbref.com/en/players/10072610/Claudio-Bravo,12,12,1080,0,0,0,0,0,0,2,0,0.0,1.0,0.0
https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,32,32,2795,0,1,1,0,0,0,12,0,18.0,80.0,10.0
https://fbref.com/en/players/102c9665/Alexsandro-Ribeiro,21,16,1612,3,0,3,3,0,0,4,0,9.0,90.0,7.0
https://fbref.com/en/players/102e2599/Tommaso-Baldanzi,26,24,1772,4,0,4,4,0,0,2,0,57.0,69.0,94.0
https://fbref.com/en/players/104b4ad3/Alberth-Elis,10,2,257,0,0,0,0,0,0,0,0,8.0,4.0,19.0
https://fbref.com/en/players/10549b49/Sardar-Azmoun,23,8,927,4,1,5,4,0,0,1,0,11.0,32.0,45.0
https://fbref.com/en/players/106c142c/Jesus-Vazquez,10,3,310,0,0,0,0,0,0,1,0,4.0,13.0,17.0
https://fbref.com/en/players/10745192/Jamie-Bynoe-Gittens,15,4,533,3,1,4,3,0,0,1,0,24.0,9.0,38.0
https://fbref.com/en/players/108fe016/Marcos-Antonio,16,6,594,1,1,2,1,0,0,2,0,1.0,25.0,8.0
https://fbref.com/en/players/10a10454/Joe-Rothwell,20,12,1016,0,1,1,0,0,0,1,0,12.0,33.0,12.0
https://fbref.com/en/players/10b9fa99/Ethan-Ampadu,31,31,2639,0,1,1,0,0,0,10,1,28.0,125.0,10.0
https://fbref.com/en/players/10d221cd/Daniel-Iversen,12,12,1080,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu,1,1,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/10dd88f9/Gaetan-Perrin,37,15,1391,3,1,4,2,1,1,1,0,55.0,69.0,81.0
https://fbref.com/en/players/10e7f486/Rogerio,36,34,2996,0,3,3,0,0,0,5,1,110.0,185.0,115.0
https://fbref.com/en/players/10ec4169/Alexander-Mighten,1,0,8,0,0,0,0,0,0,0,0,0.0,0.0,1.0
https://fbref.com/en/players/10f0fdd3/Jean-Ricner-Bellegarde,30,29,2419,2,6,8,2,0,0,5,0,104.0,153.0,110.0
https://fbref.com/en/players/112521d1/Pedrosa,7,2,229,0,0,0,0,0,0,0,0,7.0,4.0,21.0
https://fbref.com/en/players/1137759d/Sergi-Canos,5,0,77,0,0,0,0,0,0,0,0,4.0,2.0,7.0
https://fbref.com/en/players/114bbdee/Loic-Bade,20,17,1539,1,1,2,1,0,0,5,0,7.0,45.0,2.0
https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,12,11,993,0,0,0,0,0,0,0,0,30.0,85.0,11.0
https://fbref.com/en/players/11b9265b/Alberto-Moreno,24,14,1296,0,1,1,0,0,0,7,0,41.0,47.0,97.0
https://fbref.com/en/players/11f54bd5/Siriki-Dembele,18,4,482,0,0,0,0,0,0,1,0,19.0,13.0,40.0
https://fbref.com/en/players/11fd2b75/Omar-Mascarell,28,28,2447,0,1,1,0,0,0,6,0,27.0,116.0,6.0
https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,18,11,819,0,0,0,0,0,0,4,0,9.0,28.0,6.0
https://fbref.com/en/players/1237c049/Ivane-Chegra,6,1,193,0,0,0,0,0,0,0,0,7.0,7.0,5.0
https://fbref.com/en/players/1238a3f9/Davie-Selke,30,15,1151,6,1,7,5,1,1,3,0,10.0,21.0,62.0
https://fbref.com/en/players/1265a93a/Reece-James,16,14,1244,1,1,2,1,0,0,4,0,52.0,90.0,115.0
https://fbref.com/en/players/12806697/Isak-Hien,32,28,2607,0,0,0,0,0,0,9,0,17.0,54.0,2.0
https://fbref.com/en/players/1295552e/Mert-Muldur,2,1,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/129af0db/Alvaro-Morata,36,23,1900,13,2,15,13,0,0,4,0,33.0,17.0,102.0
https://fbref.com/en/players/12c50af5/Denis-Suarez,18,11,945,0,0,0,0,0,0,2,0,26.0,43.0,34.0
https://fbref.com/en/players/130a7a3f/Samu-Castillejo,25,17,1362,4,0,4,4,0,0,7,0,54.0,76.0,115.0
