URL,COMPL_STARTS,SUBS_SUBS,UNSUB_SUBS,PPM_TEAM.SUCCESS,ONG_TEAM.SUCCESS,ONGA_TEAM.SUCCESS,PLUS_PER__MINUS__TEAM.SUCCESS
https://fbref.com/en/players/0ed063d6/Yasser-Larouci,9,9,6,0.6,21.0,45.0,-24.0
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,1,13,2,1.1,9.0,9.0,0.0
https://fbref.com/en/players/0f12a8ca/Leon-Kohl,0,0,1,,0.0,0.0,0.0
https://fbref.com/en/players/0f134faf/Mathias-Jensen,10,0,0,1.51,45.0,40.0,5.0
https://fbref.com/en/players/0f26ffd7/Copete,16,1,6,1.39,22.0,26.0,-4.0
https://fbref.com/en/players/0f59a7bf/Anton-Stach,9,8,1,1.4,35.0,36.0,-1.0
https://fbref.com/en/players/0f7533cd/Bobby-Reid,11,7,1,1.44,36.0,40.0,-4.0
https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko,5,13,2,1.15,18.0,21.0,-3.0
https://fbref.com/en/players/0f86995c/Hianga-Mananga-Mbock,0,2,2,2.0,0.0,0.0,0.0
https://fbref.com/en/players/0fa44d75/Dorian-Ciezkowski,0,0,3,,0.0,0.0,0.0
https://fbref.com/en/players/0fbecd11/Dominik-Kohr,21,3,1,1.43,39.0,38.0,1.0
https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,1,15,18,2.05,9.0,10.0,-1.0
https://fbref.com/en/players/0fee6bda/Martin-Erlic,22,2,8,1.43,35.0,36.0,-1.0
https://fbref.com/en/players/0ff630d0/Akim-Zedadka,17,5,8,1.29,27.0,30.0,-3.0
https://fbref.com/en/players/10072610/Claudio-Bravo,12,0,21,1.67,13.0,9.0,4.0
https://fbref.com/en/players/101fc260/Theo-Borne,0,0,11,,0.0,0.0,0.0
https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,30,0,0,1.03,39.0,56.0,-17.0
https://fbref.com/en/players/102c9665/Alexsandro-Ribeiro,15,5,15,1.76,31.0,25.0,6.0
https://fbref.com/en/players/102e2599/Tommaso-Baldanzi,6,2,5,1.15,17.0,23.0,-6.0
https://fbref.com/en/players/104b4ad3/Alberth-Elis,0,8,6,1.3,1.0,6.0,-5.0
https://fbref.com/en/players/10549b49/Sardar-Azmoun,3,15,3,1.22,13.0,17.0,-4.0
https://fbref.com/en/players/106c142c/Jesus-Vazquez,1,7,27,0.8,1.0,5.0,-4.0
https://fbref.com/en/players/10745192/Jamie-Bynoe-Gittens,0,11,3,2.53,19.0,7.0,12.0
https://fbref.com/en/players/108fe016/Marcos-Antonio,1,10,21,1.75,7.0,6.0,1.0
