URL,TOUCHES_TOUCHES,DEF PEN_TOUCHES,DEF 3RD_TOUCHES,MID 3RD_TOUCHES,ATT 3RD_TOUCHES,ATT PEN_TOUCHES,LIVE_TOUCHES,ATT_TAKE,SUCC_TAKE,TKLD_TAKE,CARRIES_CARRIES,TOTDIST_CARRIES,PRGDIST_CARRIES,PRGC_CARRIES,FINAL_THIRD_CARRIES,CPA_CARRIES,MIS_CARRIES,DIS_CARRIES,REC_RECEIVING,PRGR_RECEIVING
https://fbref.com/en/players/065dc209/Terem-Moffi,719.0,15.0,48.0,339.0,356.0,136.0,717.0,80.0,45.0,27.0,502.0,3351.0,1444.0,54.0,38.0,25.0,66.0,33.0,503.0,138.0
https://fbref.com/en/players/068f4dec/Benat-Turrientes,61.0,3.0,17.0,29.0,15.0,0.0,61.0,3.0,1.0,1.0,30.0,113.0,51.0,0.0,0.0,0.0,4.0,2.0,34.0,4.0
https://fbref.com/en/players/06b08c45/Jacopo-Fazzini,476.0,20.0,135.0,216.0,132.0,15.0,476.0,31.0,13.0,15.0,255.0,1355.0,552.0,11.0,14.0,0.0,23.0,24.0,292.0,40.0
https://fbref.com/en/players/06c48679/Jonathan-Gradit,2369.0,159.0,749.0,1452.0,183.0,7.0,2369.0,26.0,12.0,12.0,1860.0,10993.0,6399.0,41.0,68.0,2.0,18.0,9.0,1756.0,9.0
https://fbref.com/en/players/06df8256/Benoit-Badiashile,1513.0,177.0,709.0,782.0,38.0,18.0,1513.0,4.0,1.0,3.0,1032.0,5138.0,2888.0,14.0,5.0,1.0,5.0,3.0,1038.0,2.0
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,1283.0,78.0,434.0,563.0,307.0,35.0,1283.0,51.0,27.0,18.0,660.0,4200.0,2232.0,60.0,34.0,11.0,29.0,25.0,710.0,84.0
https://fbref.com/en/players/070a3904/Sergi-Darder,1980.0,43.0,276.0,1145.0,605.0,39.0,1980.0,135.0,68.0,54.0,1214.0,8752.0,4719.0,111.0,95.0,9.0,43.0,26.0,1273.0,75.0
https://fbref.com/en/players/0728bebe/Gaetano-Castrovilli,324.0,15.0,56.0,148.0,127.0,22.0,324.0,16.0,7.0,5.0,176.0,1019.0,467.0,12.0,13.0,0.0,11.0,9.0,200.0,16.0
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,1640.0,237.0,976.0,633.0,43.0,16.0,1640.0,8.0,4.0,4.0,891.0,4831.0,2792.0,21.0,13.0,1.0,10.0,3.0,1013.0,5.0
https://fbref.com/en/players/07802f7f/Danny-Ings,496.0,20.0,48.0,211.0,244.0,86.0,494.0,34.0,15.0,18.0,292.0,1272.0,520.0,24.0,14.0,12.0,31.0,27.0,343.0,90.0
https://fbref.com/en/players/07ace8c3/Rhys-Healey,24.0,0.0,2.0,7.0,15.0,8.0,24.0,0.0,0.0,0.0,19.0,94.0,21.0,1.0,0.0,1.0,3.0,2.0,23.0,7.0
https://fbref.com/en/players/07c7eb0c/Anthony-Losilla,1286.0,90.0,366.0,705.0,234.0,39.0,1286.0,20.0,9.0,10.0,410.0,1715.0,645.0,13.0,14.0,1.0,24.0,10.0,551.0,42.0
https://fbref.com/en/players/07d3bfec/Tom-Bischof,182.0,2.0,35.0,77.0,74.0,8.0,182.0,9.0,1.0,6.0,101.0,431.0,178.0,8.0,11.0,2.0,10.0,6.0,105.0,12.0
https://fbref.com/en/players/07f8bcc8/Assan-Ceesay,642.0,28.0,69.0,270.0,311.0,71.0,641.0,36.0,22.0,12.0,304.0,1456.0,590.0,21.0,15.0,8.0,64.0,25.0,417.0,111.0
