CLUB_NAME,PLAYER_NAME,PLAYER_HREF,LEAGUE_NAME,COUNTRY_LEAGUE,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE,UrlFBref
Manchester United,Casemiro,https://www.transfermarkt.com/casemiro/profil/spieler/16306,Premier League,England,Brazil,€40.00m,https://fbref.com/en/players/4d224fe8/Casemiro
Manchester United,S. McTominay,https://www.transfermarkt.com/scott-mctominay/profil/spieler/315969,Premier League,England,Scotland,€25.00m,https://fbref.com/en/players/d93c2511/Scott-McTominay
Manchester United,J. Garner,https://www.transfermarkt.com/james-garner/profil/spieler/505219,Premier League,England,England,€14.00m,https://fbref.com/en/players/4e015693/James-Garner
Manchester United,C. Eriksen,https://www.transfermarkt.com/christian-eriksen/profil/spieler/69633,Premier League,England,Denmark,€22.00m,https://fbref.com/en/players/980522ec/Christian-Eriksen
Manchester United,M. Sabitzer,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,Premier League,England,Austria,€20.00m,https://fbref.com/en/players/e280527c/Marcel-Sabitzer
Manchester United,Fred,https://www.transfermarkt.com/fred/profil/spieler/191614,Premier League,England,Brazil,€20.00m,https://fbref.com/en/players/b853e0ad/Fred
Manchester United,D. van de Beek,https://www.transfermarkt.com/donny-van-de-beek/profil/spieler/288255,Premier League,England,Netherlands,€13.00m,https://fbref.com/en/players/50dc94ce/Donny-van-de-Beek
Manchester United,Z. Iqbal,https://www.transfermarkt.com/zidane-iqbal/profil/spieler/686845,Premier League,England,Iraq,€1.00m,
Manchester United,K. Mainoo,https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374,Premier League,England,England,€800k,https://fbref.com/en/players/c6220452/Kobbie-Mainoo
Manchester United,B. Fernandes,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Premier League,England,Portugal,€75.00m,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes
Manchester United,Hannibal,https://www.transfermarkt.com/hannibal/profil/spieler/607224,Premier League,England,Tunisia,€8.00m,
Manchester United,M. Rashford,https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923,Premier League,England,England,€80.00m,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
Manchester United,J. Sancho,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173,Premier League,England,England,€45.00m,https://fbref.com/en/players/dbf053da/Jadon-Sancho
Manchester United,A. Garnacho,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779,Premier League,England,Argentina,€25.00m,https://fbref.com/en/players/7aa8adfe/Alejandro-Garnacho
Manchester United,A. Elanga,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189,Premier League,England,Sweden,€18.00m,https://fbref.com/en/players/2fba6108/Anthony-Elanga
