CLUB_NAME,PLAYER_NAME,PLAYER_HREF,LEAGUE_NAME,COUNTRY_LEAGUE,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE
Manchester United,M. Greenwood,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,Premier League,England,England,-
Manchester United,Cristiano Ronaldo,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198,Premier League,England,Portugal,€15.00m
Manchester United,A. Martial,https://www.transfermarkt.com/anthony-martial/profil/spieler/182877,Premier League,England,France,€15.00m
Manchester United,W. Weghorst,https://www.transfermarkt.com/wout-weghorst/profil/spieler/228645,Premier League,England,Netherlands,€12.00m
Manchester United,C. McNeill,https://www.transfermarkt.com/charlie-mcneill/profil/spieler/614262,Premier League,England,England,€200k
Liverpool FC,Alisson,https://www.transfermarkt.com/alisson/profil/spieler/105470,Premier League,England,Brazil,€35.00m
Liverpool FC,C. Kelleher,https://www.transfermarkt.com/caoimhin-kelleher/profil/spieler/340918,Premier League,England,Ireland,€12.00m
Liverpool FC,Adrián,https://www.transfermarkt.com/adrian/profil/spieler/71271,Premier League,England,Spain,€800k
Liverpool FC,H. Davies,https://www.transfermarkt.com/harvey-davies/profil/spieler/706815,Premier League,England,England,€300k
Liverpool FC,I. Konaté,https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119,Premier League,England,France,€38.00m
Liverpool FC,V. van Dijk,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208,Premier League,England,Netherlands,€35.00m
Liverpool FC,Joe Gomez,https://www.transfermarkt.com/joe-gomez/profil/spieler/256178,Premier League,England,England,€22.00m
Liverpool FC,J. Matip,https://www.transfermarkt.com/joel-matip/profil/spieler/82105,Premier League,England,Cameroon,€12.00m
Liverpool FC,S. van den Berg,https://www.transfermarkt.com/sepp-van-den-berg/profil/spieler/541231,Premier League,England,Netherlands,€5.00m
Liverpool FC,N. Phillips,https://www.transfermarkt.com/nathaniel-phillips/profil/spieler/371814,Premier League,England,England,€4.00m
Liverpool FC,R. Williams,https://www.transfermarkt.com/rhys-williams/profil/spieler/503679,Premier League,England,England,€2.00m
Liverpool FC,J. Quansah,https://www.transfermarkt.com/jarell-quansah/profil/spieler/632349,Premier League,England,England,€400k
Liverpool FC,A. Robertson,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,Premier League,England,Scotland,€40.00m
Liverpool FC,K. Tsimikas,https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070,Premier League,England,Greece,€18.00m
Liverpool FC,L. Chambers,https://www.transfermarkt.com/luke-chambers/profil/spieler/670861,Premier League,England,England,€300k
Liverpool FC,T. Alexander-Arnold,https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353,Premier League,England,England,€65.00m
Liverpool FC,C. Ramsay,https://www.transfermarkt.com/calvin-ramsay/profil/spieler/633652,Premier League,England,Scotland,€5.00m
Liverpool FC,Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693,Premier League,England,Brazil,€42.00m
Liverpool FC,S. Bajcetic,https://www.transfermarkt.com/stefan-bajcetic/profil/spieler/864799,Premier League,England,Spain,€13.00m
Liverpool FC,C. Jones,https://www.transfermarkt.com/curtis-jones/profil/spieler/433188,Premier League,England,England,€22.00m
Liverpool FC,Thiago,https://www.transfermarkt.com/thiago/profil/spieler/60444,Premier League,England,Spain,€15.00m
Liverpool FC,Arthur Melo,https://www.transfermarkt.com/arthur-melo/profil/spieler/362842,Premier League,England,Brazil,€15.00m
Liverpool FC,N. Keïta,https://www.transfermarkt.com/naby-keita/profil/spieler/302215,Premier League,England,Guinea,€12.00m
Liverpool FC,J. Henderson,https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651,Premier League,England,England,€10.00m
Liverpool FC,A. Oxlade-Chamberlain,https://www.transfermarkt.com/alex-oxlade-chamberlain/profil/spieler/143424,Premier League,England,England,€7.00m
Liverpool FC,J. Milner,https://www.transfermarkt.com/james-milner/profil/spieler/3333,Premier League,England,England,€1.50m
Liverpool FC,B. Clark,https://www.transfermarkt.com/bobby-clark/profil/spieler/712117,Premier League,England,England,€350k
Liverpool FC,Jake Cain,https://www.transfermarkt.com/jake-cain/profil/spieler/565420,Premier League,England,England,€200k
Liverpool FC,H. Elliott,https://www.transfermarkt.com/harvey-elliott/profil/spieler/565822,Premier League,England,England,€35.00m
Liverpool FC,F. Carvalho,https://www.transfermarkt.com/fabio-carvalho/profil/spieler/559263,Premier League,England,Portugal,€16.00m
