,CLUB_NAME,CURRENT_INTERNATIONAL,AGE,MIN_PLAYING,DIST_STANDARD,DEF 3RD_TOUCHES,ATT 3RD_TOUCHES,ATT PEN_TOUCHES,ATT_TAKE,TOTDIST_CARRIES,CPA_CARRIES,MIS_CARRIES,SUBS_SUBS,UNSUB_SUBS,PLUS_PER__MINUS__TEAM.SUCCESS,TOTDIST_TOTAL,CRSPA,FLS,FLD,OFF,CRS,WON_AERIAL,LOST_AERIAL,ATT 3RD_TACKLES,LOST_CHALLENGES,PASS_BLOCKS,TKL+INT,YEAR_BIRTH,ID,LEAGUE_COUNTRY_England,LEAGUE_COUNTRY_France,LEAGUE_COUNTRY_Germany,LEAGUE_COUNTRY_Italy,LEAGUE_COUNTRY_Spain,POSITION_Attack - Centre-Forward,POSITION_Attack - Left Winger,POSITION_Attack - Right Winger,POSITION_Attack - Second Striker,POSITION_Defender - Centre-Back,POSITION_Defender - Left-Back,POSITION_Defender - Right-Back,POSITION_midfield - Attacking Midfield,POSITION_midfield - Central Midfield,POSITION_midfield - Defensive Midfield,POSITION_midfield - Left Midfield,POSITION_midfield - Right Midfield,MACRO_POSITION_Attack,MACRO_POSITION_Defense,MACRO_POSITION_Midfield,FOOT_both,FOOT_left,FOOT_right,PLAYER_AGENT_False,PLAYER_AGENT_True,OUTFITTER_False,OUTFITTER_True
296,76,32,0.13636363636363646,0.16554548113483475,0.4675767918088738,0.045627376425855515,0.18092909535452323,0.22377622377622378,0.30578512396694213,0.1599133931333127,0.3421052631578947,0.2823529411764706,0.5454545454545454,0.08,0.4473684210526316,0.03759587226328266,0.058823529411764705,0.016666666666666666,0.3384615384615385,0.0625,0.07586206896551724,0.06521739130434782,0.14814814814814814,0.07692307692307693,0.10638297872340426,0.16666666666666666,0.16546762589928057,21,680806,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
297,76,24,0.590909090909091,0.0017548990933021352,0.49146757679180886,0.0019011406844106464,0.0024449877750611247,0.0,0.0,0.0010310341272296113,0.0,0.0,0.045454545454545456,0.12,0.5,0.00044624180727931945,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,10,119150,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
298,76,32,0.5454545454545454,0.0,0.49146757679180886,0.0,0.0012224938875305623,0.0,0.0,0.00010310341272296113,0.0,0.0,0.045454545454545456,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,12,129078,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
299,76,32,0.7727272727272727,0.3299210295408014,0.48122866894197946,0.07129277566539924,0.20660146699266504,0.3076923076923077,0.19834710743801653,0.14269512320857822,0.2631578947368421,0.2823529411764706,0.3181818181818182,0.36,0.3026315789473684,0.06370101798912285,0.11764705882352941,0.11666666666666667,0.15384615384615385,0.9375,0.14482758620689656,0.09782608695652173,0.09876543209876543,0.07692307692307693,0.40425531914893614,0.16666666666666666,0.15827338129496404,7,33713,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
300,76,81,0.4545454545454546,0.5823340157940918,0.37542662116040965,0.06273764258555133,0.460880195599022,0.7202797202797203,0.2727272727272727,0.1663058047221363,0.23684210526315788,0.7764705882352941,0.2272727272727273,0.04,0.19736842105263158,0.12971691535350718,0.11764705882352941,0.6333333333333333,0.4153846153846154,0.875,0.08275862068965517,0.6630434782608695,0.19753086419753085,0.15384615384615385,0.10638297872340426,0.21428571428571427,0.1510791366906475,14,346779,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
301,76,70,0.5454545454545454,0.11874817198011113,0.3890784982935154,0.016159695817490494,0.08924205378973105,0.17482517482517482,0.11570247933884298,0.02825033508609135,0.0,0.2588235294117647,0.3181818181818182,0.16,0.4473684210526316,0.0211128155069028,0.0,0.23333333333333334,0.09230769230769231,0.375,0.0,0.40217391304347827,0.37037037037037035,0.07692307692307693,0.0425531914893617,0.07142857142857142,0.02158273381294964,12,272855,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
302,76,32,0.40909090909090917,0.390172565077508,0.4470989761092151,0.06749049429657794,0.2713936430317848,0.32167832167832167,0.3553719008264463,0.24105577894628313,0.2894736842105263,0.2823529411764706,0.7272727272727273,0.16,0.40789473684210525,0.0902245154092874,0.11764705882352941,0.2833333333333333,0.13846153846153847,0.125,0.09655172413793103,0.05434782608695652,0.25925925925925924,0.23076923076923078,0.14893617021276595,0.2857142857142857,0.1366906474820144,15,250426,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
303,76,35,0.13636363636363646,0.16203568294823048,0.4573378839590444,0.025665399239543727,0.12591687041564792,0.18181818181818182,0.2396694214876033,0.07495618104959274,0.05263157894736842,0.32941176470588235,0.8181818181818182,0.44,0.4473684210526316,0.02443173894854274,0.0,0.3333333333333333,0.09230769230769231,0.1875,0.006896551724137931,0.2717391304347826,0.49382716049382713,0.07692307692307693,0.1276595744680851,0.26190476190476186,0.10791366906474821,20,557612,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
304,33,32,0.590909090909091,1.0,0.21160409556313997,0.12072243346007605,0.13814180929095354,0.5664335664335665,0.08264462809917356,0.45499536034642746,0.02631578947368421,0.2588235294117647,0.0,0.0,0.19736842105263158,0.7351554873797238,0.0,0.6666666666666666,0.35384615384615387,0.125,0.0,0.13043478260869565,0.5925925925925926,0.15384615384615385,0.3829787234042553,0.5,0.7338129496402878,10,173504,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
305,33,32,0.36363636363636376,0.23427902895583502,0.3515358361774744,0.15114068441064638,0.07701711491442542,0.055944055944055944,0.06611570247933884,0.08557583256005774,0.0,0.1411764705882353,0.13636363636363635,0.2,0.39473684210526316,0.08553897643285455,0.058823529411764705,0.16666666666666666,0.07692307692307693,0.0625,0.04827586206896552,0.16304347826086957,0.20987654320987653,0.15384615384615385,0.3829787234042553,0.14285714285714285,0.20143884892086333,16,343475,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
306,33,32,0.590909090909091,0.28780345130155016,0.3447098976109216,0.26140684410646386,0.06723716381418093,0.16783216783216784,0.05785123966942149,0.13217857511083617,0.0,0.07058823529411765,0.09090909090909091,0.8,0.35526315789473684,0.1631292706735462,0.0,0.11666666666666667,0.06153846153846154,0.0,0.027586206896551724,0.7282608695652174,0.4074074074074074,0.0,0.06382978723404255,0.11904761904761904,0.1510791366906475,11,118534,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
307,33,19,0.5,0.17344252705469435,0.1911262798634813,0.188212927756654,0.03667481662591687,0.11188811188811189,0.01652892561983471,0.11227961645530467,0.02631578947368421,0.047058823529411764,0.0,0.68,0.4868421052631579,0.13763770743271508,0.0,0.1,0.15384615384615385,0.0,0.006896551724137931,0.20652173913043478,0.18518518518518517,0.0,0.0425531914893617,0.07142857142857142,0.1510791366906475,12,289446,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
308,33,32,0.40909090909090917,0.14799649020181338,0.2969283276450512,0.11406844106463879,0.03300733496332518,0.03496503496503497,0.024793388429752067,0.04639653572533251,0.0,0.07058823529411765,0.13636363636363635,0.8,0.4342105263157895,0.07929159113094407,0.058823529411764705,0.15,0.06153846153846154,0.0,0.013793103448275862,0.09782608695652173,0.12345679012345678,0.0,0.1702127659574468,0.09523809523809523,0.12949640287769784,14,348623,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
309,33,96,0.3181818181818181,0.7762503656039778,0.597269624573379,0.5475285171102662,0.45232273838630804,0.18181818181818182,0.2066115702479339,0.3199298896793484,0.18421052631578946,0.3764705882352941,0.18181818181818182,0.0,0.26315789473684215,0.4239018268023985,0.6470588235294118,0.48333333333333334,0.3230769230769231,0.0,0.3931034482758621,0.2717391304347826,0.41975308641975306,0.23076923076923078,0.48936170212765956,0.8095238095238095,0.7482014388489209,17,404842,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
