Url,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,PrgR_Progression
https://fbref.com/en/players/79a793b7/Lilian-Raolisoa,7,0,173,1.9,1,0,1,1,0,0,0,0,5,10,16
https://fbref.com/en/players/8299e363/Halid-Sabanovic,15,8,638,7.1,2,0,2,2,0,0,1,1,5,20,30
https://fbref.com/en/players/bc7cc472/Amine-Salama,25,12,1249,13.9,3,1,4,3,0,0,1,0,35,21,94
https://fbref.com/en/players/fdbde523/Abdallah-Sima,34,19,1836,20.4,5,1,6,5,0,0,0,0,38,21,140
https://fbref.com/en/players/95192fe4/Waniss-Taibi,11,1,189,2.1,0,1,1,0,0,0,1,0,8,16,7
https://fbref.com/en/players/f4bc42b1/Sada-Thioub,27,11,1060,11.8,1,2,3,1,0,0,3,0,23,57,78
https://fbref.com/en/players/531a4aa8/Yan-Valery,30,30,2497,27.7,0,0,0,0,0,0,3,0,72,84,74
https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos,38,38,3409,37.9,3,0,3,3,0,0,5,0,18,153,16
https://fbref.com/en/players/47a34c4f/Mohamed-Elneny,5,1,113,1.3,0,0,0,0,0,0,0,0,1,2,1
https://fbref.com/en/players/d79a8c87/Rob-Holding,14,6,566,6.3,1,0,1,1,0,0,0,0,3,24,2
https://fbref.com/en/players/b66315ae/Gabriel-Jesus,26,24,2064,22.9,11,6,17,10,1,1,6,0,44,64,194
https://fbref.com/en/players/45db685d/Jorginho,14,9,855,9.5,0,1,1,0,0,0,0,0,15,99,8
https://fbref.com/en/players/dc3e663e/Jakub-Kiwior,7,5,427,4.7,1,0,1,1,0,0,0,0,0,6,6
https://fbref.com/en/players/59878425/Marquinhos,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/48a5a5d6/Martinelli,36,34,2789,31,15,5,20,15,0,0,3,0,124,94,350
https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson,11,0,212,2.4,3,2,5,3,0,0,0,0,19,6,34
https://fbref.com/en/players/a53649b7/Eddie-Nketiah,30,9,1089,12.1,4,1,5,4,0,0,3,0,32,15,82
https://fbref.com/en/players/7f94982c/Ethan-Nwaneri,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://fbref.com/en/players/529f49ab/Thomas-Partey,33,28,2483,27.6,3,0,3,3,0,0,5,0,34,231,35
https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,38,38,3420,38,0,0,0,0,0,0,1,0,0,8,0
https://fbref.com/en/players/bc7dc64d/Bukayo-Saka,38,37,3181,35.3,14,11,25,12,2,3,6,0,179,109,520
https://fbref.com/en/players/972aeb2a/William-Saliba,27,27,2415,26.8,2,1,3,2,0,0,4,0,13,99,2
https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga,6,2,198,2.2,0,0,0,0,0,0,0,0,0,12,2
https://fbref.com/en/players/17695062/Emile-Smith-Rowe,12,0,172,1.9,0,2,2,0,0,0,0,0,2,7,11
https://fbref.com/en/players/839c14e1/Cedric-Soares,2,0,29,0.3,0,0,0,0,0,0,0,0,1,3,0
https://fbref.com/en/players/fce2302c/Kieran-Tierney,27,6,795,8.8,0,1,1,0,0,0,0,0,25,36,31
https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu,21,6,663,7.4,0,1,1,0,0,0,2,0,14,51,28
https://fbref.com/en/players/38ceb24a/Leandro-Trossard,20,10,931,10.3,1,10,11,1,0,0,0,0,36,57,102
https://fbref.com/en/players/6412cc03/Fabio-Vieira,22,3,514,5.7,1,2,3,1,0,0,0,0,8,35,40
https://fbref.com/en/players/35e413f1/Ben-White,38,36,3055,33.9,2,5,7,2,0,0,5,0,64,249,124
https://fbref.com/en/players/e61b8aee/Granit-Xhaka,37,36,2993,33.3,7,7,14,7,0,0,4,0,42,196,175
https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko,27,26,2118,23.5,1,2,3,1,0,0,3,0,67,227,68
https://fbref.com/en/players/79300479/Martin-Odegaard,37,37,3127,34.7,15,7,22,15,0,0,4,0,83,266,193
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,6,0,49,0.5,0,0,0,0,0,0,0,0,3,0,3
https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson,3,1,77,0.9,0,0,0,0,0,0,1,0,0,0,3
https://fbref.com/en/players/3a233281/Leon-Bailey,33,26,1967,21.9,4,4,8,4,0,0,4,0,85,28,182
https://fbref.com/en/players/4115ce4e/Jan-Bednarek,3,1,100,1.1,0,0,0,0,0,0,0,0,1,5,0
https://fbref.com/en/players/66b76d44/Emi-Buendia,38,27,2412,26.8,5,2,7,5,0,0,0,0,60,138,137
https://fbref.com/en/players/b4a014b1/Diego-Carlos,3,2,205,2.3,0,0,0,0,0,0,0,0,1,11,0
https://fbref.com/en/players/2389cdc2/Matty-Cash,26,20,1820,20.2,0,1,1,0,0,0,4,0,42,75,57
https://fbref.com/en/players/dc6f5bdd/Calum-Chambers,14,2,353,3.9,0,0,0,0,0,0,2,0,6,16,2
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,20,7,788,8.8,1,0,1,1,0,0,3,0,18,48,68
https://fbref.com/en/players/5a7301ae/Leander-Dendoncker,20,7,697,7.7,0,0,0,0,0,0,0,0,1,18,2
https://fbref.com/en/players/1b84dbe1/Lucas-Digne,28,18,1502,16.7,1,0,1,1,0,0,5,0,29,57,89
https://fbref.com/en/players/414184f7/Jhon-Duran,12,0,136,1.5,0,0,0,0,0,0,1,0,4,4,13
https://fbref.com/en/players/07802f7f/Danny-Ings,18,8,824,9.2,6,0,6,4,2,2,3,0,15,12,46
https://fbref.com/en/players/cc77354e/Boubacar-Kamara,24,21,1777,19.7,0,1,1,0,0,0,4,0,16,84,8
https://fbref.com/en/players/0313a347/Ezri-Konsa,38,37,3322,36.9,0,0,0,0,0,0,6,0,7,56,11
https://fbref.com/en/players/6f7d826d/Douglas-Luiz,37,33,2927,32.5,6,6,12,6,0,0,6,1,48,148,35
https://fbref.com/en/players/7956236f/Emiliano-Martinez,36,36,3139,34.9,0,0,0,0,0,0,7,0,0,0,0
https://fbref.com/en/players/90f91999/John-McGinn,34,30,2693,29.9,1,3,4,1,0,0,7,0,34,140,66
https://fbref.com/en/players/8397a50c/Tyrone-Mings,35,35,3150,35,1,2,3,1,0,0,7,0,20,111,7
https://fbref.com/en/players/16e9d0ea/Alex-Moreno,19,14,1329,14.8,0,3,3,0,0,0,3,0,65,37,122
