Url,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard
https://fbref.com/en/players/6a99e0b1/Inaki-Williams,83,32,15.1,0,1,2
https://fbref.com/en/players/afdc14d7/Nico-Williams,61,20,17.7,1,0,0
https://fbref.com/en/players/968a1c2f/Oier-Zarraga,18,5,24.6,0,0,0
https://fbref.com/en/players/45736cec/Pablo-Barrios,12,3,21.7,0,0,0
https://fbref.com/en/players/de39485a/Yannick-Carrasco,66,21,17.2,2,1,1
https://fbref.com/en/players/01eb744d/Angel-Correa,43,18,15.3,0,0,0
https://fbref.com/en/players/dc62b55d/Matheus-Cunha,12,8,16.1,0,0,0
https://fbref.com/en/players/162efffd/Rodrigo-De-Paul,21,5,24.5,1,0,0
https://fbref.com/en/players/d557d734/Matt-Doherty,0,0,NA,0,0,0
https://fbref.com/en/players/51a3c4c8/Felipe,1,0,10.6,0,0,0
https://fbref.com/en/players/8aafd64f/Joao-Felix,26,12,18.9,1,0,0
https://fbref.com/en/players/f0f4671c/Antonio-Gomis,0,0,NA,0,0,0
https://fbref.com/en/players/3f034750/Ivo-Grbic,0,0,NA,0,0,0
https://fbref.com/en/players/df69b544/Antoine-Griezmann,111,44,17.6,5,0,0
https://fbref.com/en/players/555f3a0b/Mario-Hermoso,15,5,16.1,0,0,0
https://fbref.com/en/players/55126f3b/Koke,16,1,22.9,0,0,0
https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia,11,0,19.7,0,0,0
https://fbref.com/en/players/4dbd0916/Thomas-Lemar,13,6,21.1,0,0,0
https://fbref.com/en/players/02c15616/Marcos-Llorente,24,9,17.9,0,0,0
https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava,6,0,22.7,0,0,0
https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez,22,8,14.1,0,0,0
https://fbref.com/en/players/64035864/Carlos-Martin,1,1,16.9,0,0,0
https://fbref.com/en/players/8f696594/Memphis,11,5,11.8,0,0,0
https://fbref.com/en/players/23610943/Nahuel-Molina,21,6,17,0,0,0
https://fbref.com/en/players/129af0db/Alvaro-Morata,71,32,12.2,0,0,0
https://fbref.com/en/players/c14bc029/Saul-Niguez,21,9,17.2,0,0,0
https://fbref.com/en/players/ee8508c0/Jan-Oblak,0,0,NA,0,0,0
https://fbref.com/en/players/3353737a/Sergio-Reguilon,3,1,17.7,0,0,0
https://fbref.com/en/players/f6ac68c1/Stefan-Savic,2,1,13,0,0,0
https://fbref.com/en/players/5dfc6ad5/Axel-Witsel,9,0,15,0,0,0
https://fbref.com/en/players/44a20f0c/Maximilian-Bauer,8,0,8.5,0,0,0
https://fbref.com/en/players/69374ff5/Julian-Baumgartlinger,3,0,18.2,0,0,0
