Url,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success
https://fbref.com/en/players/7956236f/Emiliano-Martinez,1.61,47,38,9
https://fbref.com/en/players/90f91999/John-McGinn,1.59,36,31,5
https://fbref.com/en/players/8397a50c/Tyrone-Mings,1.74,50,40,10
https://fbref.com/en/players/16e9d0ea/Alex-Moreno,1.89,23,10,13
https://fbref.com/en/players/de5b5570/Marvelous-Nakamba,NA,NA,NA,NA
https://fbref.com/en/players/345fc437/Tommi-OReilly,NA,NA,NA,NA
https://fbref.com/en/players/e7ee38c3/Robin-Olsen,1,4,8,-4
https://fbref.com/en/players/e0b5d31b/Travis-Patterson,NA,NA,NA,NA
https://fbref.com/en/players/1544f145/Jacob-Ramsey,1.63,40,33,7
https://fbref.com/en/players/8525ec2a/Seb-Revan,NA,NA,NA,NA
https://fbref.com/en/players/6e7f1353/Morgan-Sanson,3,0,1,-1
https://fbref.com/en/players/a48635b8/Viljami-Sinisalo,NA,NA,NA,NA
https://fbref.com/en/players/a42f6058/Sil-Swinkels,NA,NA,NA,NA
https://fbref.com/en/players/c47541e0/Bertrand-Traore,1.75,6,1,5
https://fbref.com/en/players/aed3a70f/Ollie-Watkins,1.57,47,40,7
https://fbref.com/en/players/9417a430/James-Wright,NA,NA,NA,NA
https://fbref.com/en/players/be927d03/Ashley-Young,1.69,27,28,-1
https://fbref.com/en/players/91c75917/Kadan-Young,NA,NA,NA,NA
https://fbref.com/en/players/be18d79f/Oliwier-Zych,NA,NA,NA,NA
https://fbref.com/en/players/c1041eb7/Lorenzo-Bernasconi,NA,NA,NA,NA
https://fbref.com/en/players/c14dcfc2/Tommaso-Bertini,NA,NA,NA,NA
https://fbref.com/en/players/fe012aca/Jeremie-Boga,1.57,19,14,5
https://fbref.com/en/players/48c74b27/Mannah-Chiwisa,NA,NA,NA,NA
https://fbref.com/en/players/37980f04/Matteo-Colombo,NA,NA,NA,NA
https://fbref.com/en/players/7f9d956a/Tommaso-De-Nipoti,3,1,0,1
https://fbref.com/en/players/e0fbd23c/Tommaso-Del-Lungo,NA,NA,NA,NA
https://fbref.com/en/players/e3cceee6/Merih-Demiral,1.89,24,23,1
https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,1.42,27,23,4
https://fbref.com/en/players/a9202def/Ederson,1.63,37,31,6
https://fbref.com/en/players/3fa2f15f/Alessandro-Falleni,NA,NA,NA,NA
https://fbref.com/en/players/3b333ac3/Hans-Hateboer,1.82,22,16,6
https://fbref.com/en/players/491a433d/Rasmus-Hojlund,1.69,45,29,16
https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners,1.73,57,36,21
https://fbref.com/en/players/7c104bb7/Ademola-Lookman,1.65,38,23,15
https://fbref.com/en/players/921f6058/Jose-Luis-Palomino,1.8,25,15,10
https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi,1.67,9,8,1
https://fbref.com/en/players/dac2bed8/Leonardo-Mendicino,NA,NA,NA,NA
