Url,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,PrgP
https://fbref.com/en/players/c459a650/Joakim-Maehle,1188,1455,16528,5309,137
https://fbref.com/en/players/8ec109e6/Caleb-Okoli,345,458,5887,2267,19
https://fbref.com/en/players/e599253a/Mario-Pasalic,567,705,9192,2177,82
https://fbref.com/en/players/2a1beb34/Marten-de-Roon,1587,1912,29393,8619,171
https://fbref.com/en/players/7b5f516f/Francesco-Rossi,3,4,52,28,0
https://fbref.com/en/players/ae9898c5/Matteo-Ruggeri,515,631,8203,3341,55
https://fbref.com/en/players/1e9aa637/Giorgio-Scalvini,1205,1486,19877,8249,158
https://fbref.com/en/players/28f66c2e/Brandon-Soppy,243,322,3511,1451,33
https://fbref.com/en/players/ac4003af/Marco-Sportiello,362,462,9718,6618,2
https://fbref.com/en/players/c56dc39e/Rafael-Toloi,1351,1682,24720,9204,148
https://fbref.com/en/players/f052fb01/Lukas-Vorlicky,19,31,271,44,3
https://fbref.com/en/players/d3de9af0/Duvan-Zapata,281,412,4370,805,40
https://fbref.com/en/players/7fe90ccd/Davide-Zappacosta,771,925,10806,3422,55
https://fbref.com/en/players/82598b71/Nadir-Zortea,60,98,937,602,9
https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,171,241,4890,3600,0
https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,1123,1392,23716,9040,152
https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga,49,69,819,242,7
https://fbref.com/en/players/b6e50615/Yuri-Berchiche,1304,1580,22195,8668,179
https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,630,955,9379,2766,77
https://fbref.com/en/players/37f1cf47/Ander-Capa,74,91,1275,441,12
https://fbref.com/en/players/a461f098/Malcom-Abdulai-Ares-Djalo,42,51,744,137,4
https://fbref.com/en/players/240d3a0b/Dani-Garcia,571,720,9716,2877,73
https://fbref.com/en/players/b418dbd4/Raul-Garcia,199,318,3061,743,38
https://fbref.com/en/players/6b5ea2f4/Gorka-Guruzeta,286,394,4358,762,37
https://fbref.com/en/players/436a9dd0/Ander-Herrera,376,455,5618,1359,40
https://fbref.com/en/players/59b7d823/Inigo-Lekue,624,807,10406,3685,64
https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,1499,1932,25216,9281,204
https://fbref.com/en/players/3fc45c73/Inigo-Martinez,627,773,13236,5012,60
https://fbref.com/en/players/b7d7f3bf/Jon-Morcillo,32,44,525,156,2
https://fbref.com/en/players/c05dfb74/Iker-Muniain,890,1110,14031,4353,154
https://fbref.com/en/players/b906757a/Aitor-Paredes,464,521,9712,3359,33
https://fbref.com/en/players/bdb624a3/Oihan-Sancet,788,975,11658,3001,159
https://fbref.com/en/players/5dcf3e90/Unai-Simon,690,951,19697,14574,2
https://fbref.com/en/players/4112ace5/Unai-Vencedor-Paris,107,124,2021,592,16
https://fbref.com/en/players/b0fce72c/Mikel-Vesga,1259,1510,22687,6824,199
https://fbref.com/en/players/57be54ec/Asier-Villalibre,11,18,163,39,2
https://fbref.com/en/players/ab7bf91d/Daniel-Vivian,1165,1442,25085,9283,124
https://fbref.com/en/players/6a99e0b1/Inaki-Williams,531,827,7395,1648,61
https://fbref.com/en/players/afdc14d7/Nico-Williams,634,951,9342,2394,80
https://fbref.com/en/players/968a1c2f/Oier-Zarraga,294,379,4675,1201,37
https://fbref.com/en/players/45736cec/Pablo-Barrios,368,450,5684,1671,51
https://fbref.com/en/players/de39485a/Yannick-Carrasco,863,1091,11833,3379,84
https://fbref.com/en/players/01eb744d/Angel-Correa,406,520,5237,1201,58
https://fbref.com/en/players/dc62b55d/Matheus-Cunha,64,85,790,203,7
https://fbref.com/en/players/162efffd/Rodrigo-De-Paul,1160,1421,19936,6409,182
https://fbref.com/en/players/d557d734/Matt-Doherty,6,9,81,3,0
https://fbref.com/en/players/51a3c4c8/Felipe,121,132,2265,847,20
https://fbref.com/en/players/8aafd64f/Joao-Felix,171,228,2307,680,27
https://fbref.com/en/players/f0f4671c/Antonio-Gomis,0,3,0,0,0
https://fbref.com/en/players/3f034750/Ivo-Grbic,219,330,6085,4302,0
https://fbref.com/en/players/df69b544/Antoine-Griezmann,1236,1597,18976,5448,171
https://fbref.com/en/players/555f3a0b/Mario-Hermoso,1309,1514,23825,8990,115
https://fbref.com/en/players/55126f3b/Koke,1784,2038,27145,8772,175
https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia,567,634,8841,2652,42
https://fbref.com/en/players/4dbd0916/Thomas-Lemar,690,814,10150,2771,80
https://fbref.com/en/players/02c15616/Marcos-Llorente,660,816,9299,2473,88
https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava,918,1067,13151,5155,70
https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez,1183,1333,24083,9951,63
https://fbref.com/en/players/64035864/Carlos-Martin,6,11,57,2,0
https://fbref.com/en/players/8f696594/Memphis,68,90,865,221,8
https://fbref.com/en/players/23610943/Nahuel-Molina,1452,1930,21725,8461,112
https://fbref.com/en/players/129af0db/Alvaro-Morata,270,422,3678,551,17
https://fbref.com/en/players/c14bc029/Saul-Niguez,408,520,5583,1326,34
https://fbref.com/en/players/ee8508c0/Jan-Oblak,538,817,15674,11619,0
https://fbref.com/en/players/3353737a/Sergio-Reguilon,117,147,1667,507,11
https://fbref.com/en/players/f6ac68c1/Stefan-Savic,1001,1141,18727,7359,74
https://fbref.com/en/players/5dfc6ad5/Axel-Witsel,1229,1328,19963,6886,82
https://fbref.com/en/players/44a20f0c/Maximilian-Bauer,551,758,11267,4449,40
https://fbref.com/en/players/69374ff5/Julian-Baumgartlinger,189,228,3450,906,25
https://fbref.com/en/players/fbbc8e15/Noah-Joel-Sarenren-Bazee,1,2,10,5,0
https://fbref.com/en/players/eb6e14be/Mergim-Berisha,161,342,2735,1043,28
https://fbref.com/en/players/d1273f09/Daniel-Caligiuri,107,166,1897,934,16
https://fbref.com/en/players/5e080f73/Irvin-Cardona,36,74,452,108,3
https://fbref.com/en/players/dd5bbe0d/David-Colina,41,71,644,293,6
https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,268,533,3692,1264,48
https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch,140,183,2575,691,14
https://fbref.com/en/players/9a2e3a23/Dion-Drena-Beljo,159,250,2058,467,15
https://fbref.com/en/players/554bcc91/Arne-Engels,397,619,7580,2725,57
https://fbref.com/en/players/677da306/Ohis-Felix-Uduokhai,558,734,10809,3480,52
https://fbref.com/en/players/626fab5f/Raphael-Framberger,33,64,404,291,3
https://fbref.com/en/players/17376543/Rafal-Gikiewicz,846,1152,24931,17753,0
https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,1036,1481,22964,9746,80
https://fbref.com/en/players/f2dd9a21/Carlos-Gruezo,199,276,4090,1319,29
https://fbref.com/en/players/1df0c0b9/Robert-Gumny,533,823,9185,3817,56
https://fbref.com/en/players/cd82452e/Andre-Hahn,33,83,542,216,8
https://fbref.com/en/players/054849d2/Iago,449,725,8133,4177,53
https://fbref.com/en/players/3eeb80e0/Fredrik-Jensen,160,297,2978,1073,24
https://fbref.com/en/players/dc366c36/Tomas-Koubek,349,510,10659,7933,0
https://fbref.com/en/players/ab700320/Arne-Maier,421,658,7205,2336,66
https://fbref.com/en/players/46750e9c/Nathanael-Mbuku,3,7,27,9,1
https://fbref.com/en/players/d6862409/Florian-Niederlechner,118,200,1833,417,18
https://fbref.com/en/players/8b6e0db2/Reece-Oxford,28,52,638,273,4
https://fbref.com/en/players/582a5247/Mads-Pedersen,473,696,8287,3196,46
https://fbref.com/en/players/a2b1ed42/Ricardo-Pepi,18,27,223,7,1
https://fbref.com/en/players/f503ef6e/Lukas-Petkov,18,34,295,96,2
https://fbref.com/en/players/1ae836b1/Elvis-Rexhbecaj,622,911,11034,3474,89
https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,215,372,3588,1087,42
https://fbref.com/en/players/fc8fcbd1/Renato-Veiga,210,318,4306,1261,14
https://fbref.com/en/players/a1257b5e/Frederik-Winther,22,35,456,203,1
https://fbref.com/en/players/ea0893d6/Kelvin-Yeboah,28,59,461,166,6
https://fbref.com/en/players/65bf7e2b/Aaron-Zehnter,0,2,0,0,0
https://fbref.com/en/players/0e46fa2f/Matthis-Abline,69,105,1187,235,8
https://fbref.com/en/players/7dfbba27/Mathias-Autret,451,597,9287,2835,77
https://fbref.com/en/players/5065d67d/Denys-Bain,52,56,909,276,3
https://fbref.com/en/players/3916b09c/Quentin-Bernard,324,417,5848,2976,27
https://fbref.com/en/players/c03b7266/Kenji-Van-Boto,48,69,770,376,2
https://fbref.com/en/players/5a6b06cd/Ousmane-Camara,7,8,157,60,2
https://fbref.com/en/players/18ebca4b/Gaetan-Charbonnier,79,89,1359,298,11
https://fbref.com/en/players/c4065f40/Alexandre-Coeff,287,353,6143,2229,26
https://fbref.com/en/players/909222de/Nuno-da-Costa,261,381,4170,1230,32
https://fbref.com/en/players/2434f24a/Benoit-Costil,414,593,13801,10403,1
https://fbref.com/en/players/e76f6fbe/Kevin-Danois,1,1,8,9,0
https://fbref.com/en/players/11f54bd5/Siriki-Dembele,78,97,1032,307,9
https://fbref.com/en/players/6d7ede84/Remy-Dugimont,41,61,634,122,8
https://fbref.com/en/players/563fcd6b/Gauthier-Hein,588,778,10358,2518,76
https://fbref.com/en/players/5cb215fc/Julian-Jeanvier,653,792,12993,4484,27
https://fbref.com/en/players/5b4bc323/Paul-Joly,514,652,9641,3372,41
https://fbref.com/en/players/56ae428b/Jubal,1099,1345,24023,7984,73
https://fbref.com/en/players/51c83a90/Donovan-Leon,38,79,1559,1309,0
https://fbref.com/en/players/e05082d1/Youssouf-MChangama,384,489,6630,1857,49
https://fbref.com/en/players/eba1e557/Han-Noah-Massengo,385,453,6593,1849,48
https://fbref.com/en/players/9bdd8118/Gideon-Mensah,1126,1457,19117,7266,116
https://fbref.com/en/players/2054d037/MBaye-Niang,188,297,2848,688,30
https://fbref.com/en/players/97fb4608/Theo-Pellenard,11,21,216,175,2
https://fbref.com/en/players/5c42e7ce/Brayann-Pereira,56,79,812,282,4
https://fbref.com/en/players/10dd88f9/Gaetan-Perrin,315,434,5718,1802,69
https://fbref.com/en/players/67f649be/Ionut-Radu,345,598,11491,9005,0
https://fbref.com/en/players/fb3236a7/Rayan-Raveloson,917,1130,17031,6379,100
https://fbref.com/en/players/90a9cc01/Kays-Ruiz,26,29,233,40,0
https://fbref.com/en/players/c9151d66/Hamza-Sakhi,756,947,14936,4518,135
https://fbref.com/en/players/5e5249c8/Lassine-Sinayoko,413,555,5950,1763,74
https://fbref.com/en/players/a4b798a9/Birama-Toure,1236,1538,23867,7341,138
https://fbref.com/en/players/01fd01e8/Souleymane-Toure,681,782,12785,4114,45
https://fbref.com/en/players/0ff630d0/Akim-Zedadka,543,707,8466,2865,51
https://fbref.com/en/players/455c26a4/Angel-Alarcon,NA,NA,NA,NA,NA
https://fbref.com/en/players/4601e194/Jordi-Alba,1217,1460,19141,5490,141
https://fbref.com/en/players/f4290206/Marcos-Alonso,896,1005,16393,5539,71
https://fbref.com/en/players/2bef2bca/Ronald-Araujo,1139,1287,21762,7324,79
https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,3,3,59,26,0
https://fbref.com/en/players/5ccc9672/Alejandro-Balde,1482,1670,21525,4340,79
https://fbref.com/en/players/f874dd44/Hector-Bellerin,77,96,1146,419,13
https://fbref.com/en/players/5ab0ea87/Sergio-Busquets,1722,1949,30610,9017,254
https://fbref.com/en/players/1cb49278/Andreas-Christensen,1416,1507,25804,8685,91
https://fbref.com/en/players/b19db005/Ousmane-Dembele,642,854,10068,2037,74
https://fbref.com/en/players/0ba976e4/Ansu-Fati,509,609,6451,1024,48
https://fbref.com/en/players/2bed3eab/Eric-Garcia,1142,1257,21550,7275,105
https://fbref.com/en/players/5757adc3/Aleix-Garrido,2,3,21,8,0
https://fbref.com/en/players/19cae58d/Gavi,1026,1206,14584,2930,134
https://fbref.com/en/players/1bacc518/Frenkie-de-Jong,2089,2320,33411,10589,279
https://fbref.com/en/players/05e19d6a/Franck-Kessie,391,457,5955,1170,39
https://fbref.com/en/players/4d1666ff/Jules-Kounde,1775,2024,29836,9690,185
https://fbref.com/en/players/8d78e732/Robert-Lewandowski,602,793,8306,1669,100
https://fbref.com/en/players/8f696594/Memphis,53,66,735,209,7
https://fbref.com/en/players/0d9b2d31/Pedri,1251,1449,22516,4967,184
https://fbref.com/en/players/cc1c5035/Inaki-Pena,25,27,585,407,0
https://fbref.com/en/players/adfc9123/Gerard-Pique,353,385,7375,2268,35
https://fbref.com/en/players/3423f250/Raphinha,915,1266,15558,3922,104
https://fbref.com/en/players/b3b9b8b8/Chadi-Riad,1,1,7,5,0
https://fbref.com/en/players/335fa267/Sergi-Roberto,850,936,12315,2769,97
https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,1193,1412,30703,21527,4
https://fbref.com/en/players/04e531b6/Pablo-Torre,77,98,1026,294,11
https://fbref.com/en/players/9e1035f8/Ferran-Torres,437,576,6772,1479,44
https://fbref.com/en/players/82ec26c1/Lamine-Yamal,8,9,112,47,2
https://fbref.com/en/players/691bef82/Daley-Blind,87,100,1659,659,10
https://fbref.com/en/players/bd6351cd/Joao-Cancelo,713,861,11505,3272,61
https://fbref.com/en/players/042e8a49/Kingsley-Coman,640,806,10106,2128,70
https://fbref.com/en/players/d781d855/Alphonso-Davies,1361,1567,21727,5882,133
https://fbref.com/en/players/88e357ef/Serge-Gnabry,693,873,9720,2515,82
https://fbref.com/en/players/cc86b9a3/Leon-Goretzka,826,1012,12312,3833,114
https://fbref.com/en/players/b8e740fb/Ryan-Gravenberch,326,373,4941,1234,44
https://fbref.com/en/players/c3ee18ef/Lucas-Hernandez,337,377,6346,2535,34
https://fbref.com/en/players/f5c4fd91/Arijon-Ibrahimovic,7,8,120,9,0
https://fbref.com/en/players/49296448/Joshua-Kimmich,2333,2767,43859,14050,315
https://fbref.com/en/players/d6e53a3a/Matthijs-de-Ligt,1902,2088,36626,12291,143
https://fbref.com/en/players/c691bfe2/Sadio-Mane,307,418,4444,1192,43
https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,223,290,2934,827,43
https://fbref.com/en/players/b74277a0/Noussair-Mazraoui,738,867,10684,3976,99
